SampleID,Chao1,se.chao1,Shannon,Chao1_strict_sqrt,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,W_density,Per_WSG_loss,Termi.assum,Blue_Staining,Brown_Rot,Hypogeous,Poisonous,Soft_Rot,Soft_Rot.fungus_Seehann_et_al_1975.,White_Rot,Unassigned,Pathogen.Saprotroph.Symbiotroph,Pathotroph,Pathotroph.Saprotroph,Pathotroph.Saprotroph.Symbiotroph,Pathotroph.Symbiotroph,Saprotroph,Saprotroph.Pathotroph.Symbiotroph,Saprotroph.Symbiotroph,Symbiotroph
MD212,224.64,27.26095963,2.442934485,14.9879952,9,Regenerating_forest,372,3,7161,18mo,Litsea_cubeba,down,7161,25/11/2011,0.809196775,0.389271496,Coll_4,18/06/2013,2.326086957,0.317241379,,0.347127569,18.5038252,0,0,0,0,0,5,0,1671,964,0,36,8,83,15,2205,0,47,49
MD213,51.36363636,7.948371808,0.367878304,7.166842845,9,Regenerating_forest,372,9,7159,18mo,Litsea_cubeba,down,7159,25/11/2011,0.809196775,0.389271496,Coll_4,18/06/2013,0.230263158,0.288973384,,0.347127569,25.7655937,0,0,1,0,0,0,0,8,61,0,5,1,4,5,2154,0,2,0
MD215,84,11.89079425,0.356443743,9.16515139,9,Regenerating_forest,372,7,7164,18mo,Litsea_cubeba,down,7164,25/11/2011,0.809196775,0.389271496,Coll_4,18/06/2013,1.803191489,0.309719934,,0.347127569,20.43601,0,0,0,0,0,8,0,14,10867,0,5,12,16,0,141,0,2,7
MD216,741.3255814,46.70495413,4.529883829,27.22729479,S,Regenerating_forest,372,3,7431,18mo,Castanopsis_mekongensis,down,7431,25/11/2011,1.013930986,0.700845623,Coll_4,18/06/2013,1.032258065,0.383900929,,0.594806365,45.2231823,0,0,2,0,0,168,0,492,2480,28,794,22,102,159,2024,0,83,147
MD218,82.11111111,3.100808838,1.902220586,9.061518146,S,Regenerating_forest,372,7,7437,18mo,Castanopsis_mekongensis,down,7437,25/11/2011,1.013930986,0.700845623,Coll_4,18/06/2013,0.701818182,0.591397849,,0.594806365,15.6165309,0,0,0,0,0,9,0,0,2920,0,235,12,2,0,11590,0,1,52
MD219,146.4375,23.3730899,1.936262932,12.10113631,S,Regenerating_forest,372,1,7436,18mo,Castanopsis_mekongensis,down,7436,25/11/2011,1.013930986,0.700845623,Coll_4,18/06/2013,1,0.532110092,,0.594806365,24.0759913,0,4,0,5,0,4,0,10,761,0,24,9,51,4,90,0,2,7
MD220,210.2352941,35.83231521,2.213744224,14.49949289,S,Regenerating_forest,372,9,7429,18mo,Castanopsis_mekongensis,down,7429,25/11/2011,1.013930986,0.700845623,Coll_4,18/06/2013,0.376811594,0.439490446,,0.594806365,37.2914046,0,14,0,0,0,33,0,1616,458,1,30,19,136,7,1735,0,18,3
MD221,167.4,17.1446735,1.84015778,12.93831519,2,Regenerating_forest,381,7,7112,18mo,Litsea_cubeba,down,7112,27/10/2011,0.63105268,0.479873823,Coll_4,22/06/2013,0.215517241,0.389261745,,0.436739315,18.8824799,0,0,0,33,0,236,0,909,12342,3,64,25,44,5,1859,0,6,53
MD222,398.9148936,35.52166572,2.790921871,19.97285392,2,Regenerating_forest,381,3,7116,18mo,Litsea_cubeba,down,7116,27/10/2011,0.63105268,0.479873823,Coll_4,22/06/2013,1.457317073,0.4,,0.436739315,16.6447552,0,6,1,0,0,200,0,996,4025,12,90,174,112,37,5213,0,50,8
MD223,223,9.98172377,3.871814866,14.93318452,2,Regenerating_forest,381,9,7115,18mo,Litsea_cubeba,down,7115,27/10/2011,0.63105268,0.479873823,Coll_4,22/06/2013,1.551181102,0.296728972,,0.436739315,38.1652097,0,0,0,0,0,525,0,171,2391,230,112,119,400,1102,3381,0,17,25
